index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops,Additional_info,Price,passengers
1,AirAsia India,2024-02-25,Guwahati,Indore,GUW-NAG-MUM-RAI-IND,01:39,14:15,3h 15min,3 stops,Red-eye flight,14170,44
2,TruJet,2021-03-01,Nagpur,Pune,NAG-PUN,06:48,03:21,1h 0min,non-stop,1 Long layover,10295,38
3,Star Air,2024-04-11,Ahmedabad,Varanasi,AHM-PUN-BAN-VAR,08:54,15:50,14h 30min,2 stops,In-flight meal not included,9165,24
4,SpiceJet,2019-03-13,Patna,Indore,PAT-LUC-GOA-BHU-IND,18:09,08:23,7h 15min,3 stops,No info,9944,70
5,SpiceJet,2023-06-22,Raipur,Mumbai,RAI-GOA-MUM,15:05,05:52,15h 30min,1 stop,1 Long layover,9474,98
6,SpiceJet,2025-03-25,Kolkata,Bhubaneswar,KOL-BHU,11:09,03:49,7h 30min,non-stop,Red-eye flight,5106,105
7,GoAir,2025-10-15,Indore,Surat,IND-SUR,22:38,02:12,7h 30min,non-stop,Limited seats,9730,114
8,SpiceJet,2020-10-02,Ahmedabad,Bangalore,AHM-GUW-BAN,16:15,12:11,12h 0min,1 stop,Business class available,6436,96
9,Air India,2023-05-03,Lucknow,Guwahati,LUC-NAG-GOA-GUW,15:25,07:28,9h 0min,2 stops,Red-eye flight,7770,102
10,GoAir,2025-12-01,Bangalore,Kolkata,BAN-KOL,06:49,08:44,11h 30min,non-stop,Business class available,3000,147
11,Alliance Air,2021-02-04,Delhi,Jaipur,DEL-PUN-JAI,20:33,10:46,10h 30min,1 stop,Business class available,5394,40
12,Star Air,2023-08-06,Guwahati,Indore,GUW-LUC-IND,23:43,14:15,7h 0min,1 stop,1 Long layover,7067,36
13,Star Air,2021-09-15,Lucknow,Bangalore,LUC-KOL-VAR-BAN,15:07,17:32,6h 30min,2 stops,Business class available,10415,43
14,GoAir,2024-06-02,Raipur,Guwahati,RAI-NAG-BAN-KOL-GUW,01:33,00:24,1h 45min,3 stops,In-flight meal not included,17272,50
15,AirAsia India,2019-11-03,Nagpur,Mumbai,NAG-CHE-AHM-SUR-MUM,09:04,06:32,12h 15min,3 stops,New aircraft,12749,63
16,Alliance Air,2022-10-16,Goa,Varanasi,GOA-JAI-BHU-VAR,21:49,10:05,14h 0min,2 stops,Red-eye flight,10971,39
17,TruJet,2022-09-08,Ahmedabad,Jaipur,AHM-NAG-BHU-JAI,16:35,05:59,4h 45min,2 stops,Red-eye flight,10015,22
18,Akasa Air,2023-04-18,Guwahati,Varanasi,GUW-DEL-VAR,00:35,03:42,3h 45min,1 stop,New aircraft,7522,100
19,Air India,2023-04-22,Mumbai,Raipur,MUM-GOA-RAI,06:38,19:38,11h 45min,1 stop,1 Long layover,6893,170
20,TruJet,2023-08-27,Nagpur,Chennai,NAG-LUC-JAI-CHE,19:52,00:10,5h 0min,2 stops,No info,9673,41
21,SpiceJet,2022-08-24,Patna,Jaipur,PAT-IND-JAI,10:31,01:54,7h 30min,1 stop,WiFi available,9300,111
22,SpiceJet,2020-09-20,Jaipur,Mumbai,JAI-KOL-RAI-HYD-MUM,19:47,17:49,5h 0min,3 stops,1 Long layover,11215,37
