model_name,split,MAE,RMSE,MAPE,R2
Ridge,validation,48.9104,75.311,49.0936,0.482851
CatBoost,test,30.9182,54.1542,37.9331,0.477527
Ridge,test,34.9961,54.239,45.6353,0.47589
Random Forest,test,30.8853,54.8521,37.0652,0.463973
XGBoost,test,31.3391,55.7142,38.465,0.446992
CatBoost,validation,47.6779,79.9189,46.0792,0.417631
Random Forest,validation,48.0475,81.6313,44.9008,0.392408
LightGBM,test,32.622,58.4653,40.9887,0.39103
XGBoost,validation,49.0103,82.4393,47.8349,0.38032
LightGBM,validation,51.8026,86.3649,53.0945,0.319898
