feature,mean_abs_shap
modetype_hist_mean,3.526935872838506
lag_7,0.9550929222012422
capacity,0.7668546233583694
route_month_mean,0.22579140025037817
rolling_mean_7,0.1970911503271362
year,0.1765711199733418
fare_per_passenger,0.10404913860134936
mode_type_encoded,0.08779287010556669
rolling_max_7,0.0674146502508223
rolling_min_7,0.0586577417228073
distance_km,0.05732293921259975
lag_1,0.04898567414014682
week_of_year,0.048972181201364574
rolling_std_7,0.04581781990132087
operator_encoded,0.03633109696600603
route_encoded,0.03039508874804618
route_modetype_mean,0.030245620008278476
day_num,0.029322615929269134
month_num,0.026066807252924283
dow,0.01932090798975777
rolling_mean_14,0.01917382726527545
route_hist_mean,0.011829289734419096
is_holiday,0.005062040953068496
quarter,0.0
transport_mode_encoded,0.0
is_weekend,0.0
